"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"86 years"	"86"	7	Not Applicable	Not Applicable
	"1999"	"1999"	"87 years"	"87"	4	Not Applicable	Not Applicable
	"1999"	"1999"	"88 years"	"88"	6	Not Applicable	Not Applicable
	"1999"	"1999"	"89 years"	"89"	7	Not Applicable	Not Applicable
	"1999"	"1999"	"90 years"	"90"	2	Not Applicable	Not Applicable
	"1999"	"1999"	"91 years"	"91"	2	Not Applicable	Not Applicable
	"1999"	"1999"	"92 years"	"92"	1	Not Applicable	Not Applicable
	"1999"	"1999"	"93 years"	"93"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"94 years"	"94"	1	Not Applicable	Not Applicable
	"1999"	"1999"	"95 years"	"95"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"96 years"	"96"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"97 years"	"97"	1	Not Applicable	Not Applicable
	"1999"	"1999"	"98 years"	"98"	2	Not Applicable	Not Applicable
	"1999"	"1999"	"99 years"	"99"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"100+ years"	"100"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Not Stated"	"NS"	3	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"0"	4	1524372	Unreliable
	"2000"	"2000"	"1 year"	"1"	0	1527241	Unreliable
	"2000"	"2000"	"2 years"	"2"	1	1512152	Unreliable
	"2000"	"2000"	"3 years"	"3"	1	1531647	Unreliable
	"2000"	"2000"	"4 years"	"4"	1	1571544	Unreliable
	"2000"	"2000"	"5 years"	"5"	1	1581751	Unreliable
	"2000"	"2000"	"6 years"	"6"	1	1598150	Unreliable
	"2000"	"2000"	"7 years"	"7"	0	1636300	Unreliable
	"2000"	"2000"	"8 years"	"8"	0	1661635	Unreliable
	"2000"	"2000"	"9 years"	"9"	0	1701671	Unreliable
	"2000"	"2000"	"10 years"	"10"	1	1705837	Unreliable
	"2000"	"2000"	"11 years"	"11"	0	1646244	Unreliable
